RM,LSTAT,PTRATIO,MEDV,crim
6.575,4.98,15.3,504000,0.00632
6.421,9.14,17.8,453600,0.02731
7.185,4.03,17.8,728700,0.02729
6.998,2.94,18.7,701400,0.03237
7.147,5.33,18.7,760200,0.06905
6.43,5.21,18.7,602700,0.02985
6.012,12.43,15.2,480900,0.08829
6.172,19.15,15.2,569100,0.14455
5.631,29.93,15.2,346500,0.21124
6.004,17.1,15.2,396900,0.17004
6.377,20.45,15.2,315000,0.22489
6.009,13.27,15.2,396900,0.11747
5.889,15.71,15.2,455700,0.09378
5.949,8.26,21,428400,0.62976
6.096,10.26,21,382200,0.63796
5.834,8.47,21,417900,0.62739
5.935,6.58,21,485100,1.05393
5.99,14.67,21,367500,0.7842
5.456,11.69,21,424200,0.80271
5.727,11.28,21,382200,0.7258
5.57,21.02,21,285600,1.25179
5.965,13.83,21,411600,0.85204
6.142,18.72,21,319200,1.23247
5.813,19.88,21,304500,0.98843
5.924,16.3,21,327600,0.75026
5.599,16.51,21,291900,0.84054
5.813,14.81,21,348600,0.67191
6.047,17.28,21,310800,0.95577
6.495,12.8,21,386400,0.77299
6.674,11.98,21,441000,1.00245
5.713,22.6,21,266700,1.13081
6.072,13.04,21,304500,1.35472
5.95,27.71,21,277200,1.38799
5.701,18.35,21,275100,1.15172
6.096,20.34,21,283500,1.61282
5.933,9.68,19.2,396900,0.06417
5.841,11.41,19.2,420000,0.09744
5.85,8.77,19.2,441000,0.08014
5.966,10.13,19.2,518700,0.17505
6.595,4.32,18.3,646800,0.02763
7.024,1.98,18.3,732900,0.03359
6.77,4.84,17.9,558600,0.12744
6.169,5.81,17.9,531300,0.1415
6.211,7.44,17.9,518700,0.15936
6.069,9.55,17.9,445200,0.12269
5.682,10.21,17.9,405300,0.17142
5.786,14.15,17.9,420000,0.18836
6.03,18.8,17.9,348600,0.22927
5.399,30.81,17.9,302400,0.25387
5.602,16.2,17.9,407400,0.21977
5.963,13.45,16.8,413700,0.08873
6.115,9.43,16.8,430500,0.04337
6.511,5.28,16.8,525000,0.0536
5.998,8.43,16.8,491400,0.04981
5.888,14.8,21.1,396900,0.0136
7.249,4.81,17.9,743400,0.01311
6.383,5.77,17.3,518700,0.02055
6.816,3.95,15.1,663600,0.01432
6.145,6.86,19.7,489300,0.15445
5.927,9.22,19.7,411600,0.10328
5.741,13.15,19.7,392700,0.14932
5.966,14.44,19.7,336000,0.17171
6.456,6.73,19.7,466200,0.11027
6.762,9.5,19.7,525000,0.1265
7.104,8.05,18.6,693000,0.01951
6.29,4.67,16.1,493500,0.03584
5.787,10.24,16.1,407400,0.04379
5.878,8.1,18.9,462000,0.05789
5.594,13.09,18.9,365400,0.13554
5.885,8.79,18.9,438900,0.12816
6.417,6.72,19.2,508200,0.08826
5.961,9.88,19.2,455700,0.15876
6.065,5.52,19.2,478800,0.09164
6.245,7.54,19.2,491400,0.19539
6.273,6.78,18.7,506100,0.07896
6.286,8.94,18.7,449400,0.09512
6.279,11.97,18.7,420000,0.10153
6.14,10.27,18.7,436800,0.08707
6.232,12.34,18.7,445200,0.05646
5.874,9.1,18.7,426300,0.08387
6.727,5.29,19,588000,0.04113
6.619,7.22,19,501900,0.04462
6.302,6.72,19,520800,0.03659
6.167,7.51,19,480900,0.03551
6.389,9.62,18.5,501900,0.05059
6.63,6.53,18.5,558600,0.05735
6.015,12.86,18.5,472500,0.05188
6.121,8.44,18.5,466200,0.07151
7.007,5.5,17.8,495600,0.0566
7.079,5.7,17.8,602700,0.05302
6.417,8.81,17.8,474600,0.04684
6.405,8.2,17.8,462000,0.03932
6.442,8.16,18.2,480900,0.04203
6.211,6.21,18.2,525000,0.02875
6.249,10.59,18.2,432600,0.04294
6.625,6.65,18,596400,0.12204
6.163,11.34,18,449400,0.11504
8.069,4.21,18,812700,0.12083
7.82,3.57,18,919800,0.08187
7.416,6.19,18,697200,0.0686
6.727,9.42,20.9,577500,0.14866
6.781,7.67,20.9,556500,0.11432
6.405,10.63,20.9,390600,0.22876
6.137,13.44,20.9,405300,0.21161
6.167,12.33,20.9,422100,0.1396
5.851,16.47,20.9,409500,0.13262
5.836,18.66,20.9,409500,0.1712
6.127,14.09,20.9,428400,0.13117
6.474,12.27,20.9,415800,0.12802
6.229,15.55,20.9,407400,0.26363
6.195,13,20.9,455700,0.10793
6.715,10.16,17.8,478800,0.10084
5.913,16.21,17.8,394800,0.12329
6.092,17.09,17.8,392700,0.22212
6.254,10.45,17.8,388500,0.14231
5.928,15.76,17.8,384300,0.17134
6.176,12.04,17.8,445200,0.13158
6.021,10.3,17.8,403200,0.15098
5.872,15.37,17.8,428400,0.13058
5.731,13.61,17.8,405300,0.14476
5.87,14.37,19.1,462000,0.06899
6.004,14.27,19.1,426300,0.07165
5.961,17.93,19.1,430500,0.09299
5.856,25.41,19.1,363300,0.15038
5.879,17.58,19.1,394800,0.09849
5.986,14.81,19.1,449400,0.16902
5.613,27.26,19.1,329700,0.38735
5.693,17.19,21.2,340200,0.25915
6.431,15.39,21.2,378000,0.32543
5.637,18.34,21.2,300300,0.88125
6.458,12.6,21.2,403200,0.34006
6.326,12.26,21.2,411600,1.19294
6.372,11.12,21.2,483000,0.59005
5.822,15.03,21.2,386400,0.32982
5.757,17.31,21.2,327600,0.97617
6.335,16.96,21.2,380100,0.55778
5.942,16.9,21.2,365400,0.32264
6.454,14.59,21.2,359100,0.35233
5.857,21.32,21.2,279300,0.2498
6.151,18.46,21.2,373800,0.54452
6.174,24.16,21.2,294000,0.2909
5.019,34.41,21.2,302400,1.62864
5.403,26.82,14.7,281400,3.32105
5.468,26.42,14.7,327600,4.0974
4.903,29.29,14.7,247800,2.77974
6.13,27.8,14.7,289800,2.37934
5.628,16.65,14.7,327600,2.15505
4.926,29.53,14.7,306600,2.36862
5.186,28.32,14.7,373800,2.33099
5.597,21.45,14.7,323400,2.73397
6.122,14.1,14.7,451500,1.6566
5.404,13.28,14.7,411600,1.49632
5.012,12.12,14.7,321300,1.12658
5.709,15.79,14.7,407400,2.14918
6.129,15.12,14.7,357000,1.41385
6.152,15.02,14.7,327600,3.53501
5.272,16.14,14.7,275100,2.44668
6.943,4.59,14.7,867300,1.22358
6.066,6.43,14.7,510300,1.34284
6.51,7.39,14.7,489300,1.42502
6.25,5.5,14.7,567000,1.27346
5.854,11.64,14.7,476700,1.46336
6.101,9.81,14.7,525000,1.83377
5.877,12.14,14.7,499800,1.51902
6.319,11.1,14.7,499800,2.24236
6.402,11.32,14.7,468300,2.924
5.875,14.43,14.7,365400,2.01019
5.88,12.03,14.7,401100,1.80028
5.572,14.69,16.6,485100,2.3004
6.416,9.04,16.6,495600,2.44953
5.859,9.64,16.6,474600,1.20742
6.546,5.33,16.6,617400,2.3139
6.02,10.11,16.6,487200,0.13914
6.315,6.29,16.6,516600,0.09178
6.86,6.92,16.6,627900,0.08447
6.98,5.04,17.8,781200,0.06664
7.765,7.56,17.8,835800,0.07022
6.144,9.45,17.8,760200,0.05425
7.155,4.82,17.8,795900,0.06642
6.563,5.68,17.8,682500,0.0578
5.604,13.98,17.8,554400,0.06588
6.153,13.15,17.8,621600,0.06888
6.782,6.68,15.2,672000,0.09103
6.556,4.56,15.2,625800,0.10008
7.185,5.39,15.2,732900,0.08308
6.951,5.1,15.2,777000,0.06047
6.739,4.69,15.2,640500,0.05602
7.178,2.87,15.2,764400,0.07875
6.8,5.03,15.6,653100,0.12579
6.604,4.38,15.6,611100,0.0837
7.287,4.08,12.6,699300,0.09068
7.107,8.61,12.6,636300,0.06911
7.274,6.62,12.6,726600,0.08664
6.975,4.56,17,732900,0.02187
7.135,4.45,17,690900,0.01439
6.162,7.43,14.7,506100,0.01381
7.61,3.11,14.7,888300,0.04011
7.853,3.81,14.7,1018500,0.04666
5.891,10.87,18.6,474600,0.03768
6.326,10.97,18.6,512400,0.0315
5.783,18.06,18.6,472500,0.01778
6.064,14.66,18.6,512400,0.03445
5.344,23.09,18.6,420000,0.02177
5.96,17.27,18.6,455700,0.0351
5.404,23.98,18.6,405300,0.02009
5.807,16.03,18.6,470400,0.13642
6.375,9.38,18.6,590100,0.22969
5.412,29.55,18.6,497700,0.25199
6.182,9.47,18.6,525000,0.13587
5.888,13.51,16.4,489300,0.43571
6.642,9.69,16.4,602700,0.17446
5.951,17.92,16.4,451500,0.37578
6.373,10.5,16.4,483000,0.21719
6.951,9.71,17.4,560700,0.14052
6.164,21.46,17.4,455700,0.28955
6.879,9.93,17.4,577500,0.19802
6.618,7.6,17.4,632100,0.0456
8.266,4.14,17.4,940800,0.07013
8.04,3.13,17.4,789600,0.11069
7.163,6.36,17.4,663600,0.11425
7.686,3.92,17.4,980700,0.35809
6.552,3.76,17.4,661500,0.40771
5.981,11.65,17.4,510300,0.62356
7.412,5.25,17.4,665700,0.6147
8.337,2.47,17.4,875700,0.31533
8.247,3.95,17.4,1014300,0.52693
6.726,8.05,17.4,609000,0.38214
6.086,10.88,17.4,504000,0.41238
6.631,9.54,17.4,527100,0.29819
7.358,4.73,17.4,661500,0.44178
6.481,6.36,16.6,497700,0.537
6.606,7.37,16.6,489300,0.46296
6.897,11.38,16.6,462000,0.57529
6.095,12.4,16.6,422100,0.33147
6.358,11.22,16.6,466200,0.44791
6.393,5.19,16.6,497700,0.33045
5.593,12.5,19.1,369600,0.52058
5.605,18.46,19.1,388500,0.51183
6.108,9.16,19.1,510300,0.08244
6.226,10.15,19.1,430500,0.09252
6.433,9.52,19.1,514500,0.11329
6.718,6.56,19.1,550200,0.10612
6.487,5.9,19.1,512400,0.1029
6.438,3.59,19.1,520800,0.12757
6.957,3.53,19.1,621600,0.20608
8.259,3.54,19.1,898800,0.19133
6.108,6.57,16.4,459900,0.33983
5.876,9.25,16.4,438900,0.19657
7.454,3.11,15.9,924000,0.16439
7.333,7.79,13,756000,0.19073
6.842,6.9,13,632100,0.1403
7.203,9.59,13,709800,0.21409
7.52,7.26,13,905100,0.08221
8.398,5.91,13,1024800,0.36894
7.327,11.25,13,651000,0.04819
7.206,8.1,13,766500,0.03548
5.56,10.45,13,478800,0.01538
7.014,14.79,13,644700,0.61154
7.47,3.16,13,913500,0.66351
5.92,13.65,18.6,434700,0.65665
5.856,13,18.6,443100,0.54011
6.24,6.59,18.6,529200,0.53412
6.538,7.73,18.6,512400,0.52014
7.691,6.58,18.6,739200,0.82526
6.758,3.53,17.6,680400,0.55007
6.854,2.98,17.6,672000,0.76162
7.267,6.05,17.6,697200,0.7857
6.826,4.16,17.6,695100,0.57834
6.482,7.19,17.6,611100,0.5405
6.812,4.85,14.9,737100,0.09065
7.82,3.76,14.9,953400,0.29916
6.968,4.59,14.9,743400,0.16211
7.645,3.01,14.9,966000,0.1146
7.088,7.85,15.3,676200,0.22188
6.453,8.23,15.3,462000,0.05644
6.23,12.93,18.2,422100,0.09604
6.209,7.14,16.6,487200,0.10469
6.315,7.6,16.6,468300,0.06127
6.565,9.51,16.6,520800,0.07978
6.861,3.33,19.2,598500,0.21038
7.148,3.56,19.2,783300,0.03578
6.63,4.7,19.2,585900,0.03705
6.127,8.58,16,501900,0.06129
6.009,10.4,16,455700,0.01501
6.678,6.27,16,600600,0.00906
6.549,7.39,16,569100,0.01096
5.79,15.84,16,426300,0.01965
6.345,4.97,14.8,472500,0.03871
7.041,4.74,14.8,609000,0.0459
6.871,6.07,14.8,520800,0.04297
6.59,9.5,16.1,462000,0.03502
6.495,8.67,16.1,554400,0.07886
6.982,4.86,16.1,695100,0.03615
7.236,6.93,18.4,758100,0.08265
6.616,8.93,18.4,596400,0.08199
7.42,6.47,18.4,701400,0.12932
6.849,7.53,18.4,592200,0.05372
6.635,4.54,18.4,478800,0.14103
5.972,9.97,18.4,426300,0.06466
4.973,12.64,18.4,338100,0.05561
6.122,5.98,18.4,464100,0.04417
6.023,11.72,18.4,407400,0.03537
6.266,7.9,18.4,453600,0.09266
6.567,9.28,18.4,499800,0.1
5.705,11.5,18.4,340200,0.05515
5.914,18.33,18.4,373800,0.05479
5.782,15.94,18.4,415800,0.07503
6.382,10.36,18.4,485100,0.04932
6.113,12.73,18.4,441000,0.49298
6.426,7.2,19.6,499800,0.3494
6.376,6.87,19.6,485100,2.63548
6.041,7.7,19.6,428400,0.79041
5.708,11.74,19.6,388500,0.26169
6.415,6.12,19.6,525000,0.26938
6.431,5.08,19.6,516600,0.3692
6.312,6.15,19.6,483000,0.25356
6.083,12.79,19.6,466200,0.31827
5.868,9.97,16.9,405300,0.24522
6.333,7.34,16.9,474600,0.40202
6.144,9.09,16.9,415800,0.47547
5.706,12.43,16.9,359100,0.1676
6.031,7.83,16.9,407400,0.18159
6.316,5.68,20.2,466200,0.35114
6.31,6.75,20.2,434700,0.28392
6.037,8.01,20.2,443100,0.34109
5.869,9.8,20.2,409500,0.19186
5.895,10.56,20.2,388500,0.30347
6.059,8.51,20.2,432600,0.24103
5.985,9.74,20.2,399000,0.06617
5.968,9.29,20.2,392700,0.06724
7.241,5.49,15.5,686700,0.04544
6.54,8.65,15.9,346500,0.05023
6.696,7.18,17.6,501900,0.03466
6.874,4.61,17.6,655200,0.05083
6.014,10.53,18.8,367500,0.03738
5.898,12.67,18.8,361200,0.03961
6.516,6.36,17.9,485100,0.03427
6.635,5.99,17,514500,0.03041
6.939,5.89,19.7,558600,0.03306
6.49,5.98,19.7,480900,0.05497
6.579,5.49,18.3,506100,0.06151
5.884,7.79,18.3,390600,0.01301
6.728,4.5,17,632100,0.02498
5.663,8.05,22,382200,0.02543
5.936,5.57,22,432600,0.03049
6.212,17.6,20.2,373800,0.03113
6.395,13.27,20.2,455700,0.06162
6.127,11.48,20.2,476700,0.0187
6.112,12.67,20.2,474600,0.01501
6.398,7.79,20.2,525000,0.02899
6.251,14.19,20.2,417900,0.06211
5.362,10.19,20.2,436800,0.0795
5.803,14.64,20.2,352800,0.07244
3.561,7.12,20.2,577500,0.01709
4.963,14,20.2,459900,0.04301
3.863,13.33,20.2,485100,0.10659
4.906,34.77,20.2,289800,8.98296
4.138,37.97,20.2,289800,3.8497
7.313,13.44,20.2,315000,5.20177
6.649,23.24,20.2,291900,4.26131
6.794,21.24,20.2,279300,4.54192
6.38,23.69,20.2,275100,3.83684
6.223,21.78,20.2,214200,3.67822
6.968,17.21,20.2,218400,4.22239
6.545,21.08,20.2,228900,3.47428
5.536,23.6,20.2,237300,4.55587
5.52,24.56,20.2,258300,3.69695
4.368,30.63,20.2,184800,13.5222
5.277,30.81,20.2,151200,4.89822
4.652,28.28,20.2,220500,5.66998
5,31.99,20.2,155400,6.53876
4.88,30.62,20.2,214200,9.2323
5.39,20.85,20.2,241500,8.26725
5.713,17.11,20.2,317100,11.1081
6.051,18.76,20.2,487200,18.4982
5.036,25.68,20.2,203700,19.6091
6.193,15.17,20.2,289800,15.288
5.887,16.35,20.2,266700,9.82349
6.471,17.12,20.2,275100,23.6482
6.405,19.37,20.2,262500,17.8667
5.747,19.92,20.2,178500,88.9762
5.453,30.59,20.2,105000,15.8744
5.852,29.97,20.2,132300,9.18702
5.987,26.77,20.2,117600,7.99248
6.343,20.32,20.2,151200,20.0849
6.404,20.31,20.2,254100,16.8118
5.349,19.77,20.2,174300,24.3938
5.531,27.38,20.2,178500,22.5971
5.683,22.98,20.2,105000,14.3337
4.138,23.34,20.2,249900,8.15174
5.608,12.13,20.2,585900,6.96215
5.617,26.4,20.2,361200,5.29305
6.852,19.78,20.2,577500,11.5779
5.757,10.11,20.2,315000,8.64476
6.657,21.22,20.2,361200,13.3598
4.628,34.37,20.2,375900,8.71675
5.155,20.08,20.2,342300,5.87205
4.519,36.98,20.2,147000,7.67202
6.434,29.05,20.2,151200,38.3518
6.782,25.79,20.2,157500,9.91655
5.304,26.64,20.2,218400,25.0461
5.957,20.62,20.2,184800,14.2362
6.824,22.74,20.2,176400,9.59571
6.411,15.02,20.2,350700,24.8017
6.006,15.7,20.2,298200,41.5292
5.648,14.1,20.2,436800,67.9208
6.103,23.29,20.2,281400,20.7162
5.565,17.16,20.2,245700,11.9511
5.896,24.39,20.2,174300,7.40389
5.837,15.69,20.2,214200,14.4383
6.202,14.52,20.2,228900,51.1358
6.193,21.52,20.2,231000,14.0507
6.38,24.08,20.2,199500,18.811
6.348,17.64,20.2,304500,28.6558
6.833,19.69,20.2,296100,45.7461
6.425,12.03,20.2,338100,18.0846
6.436,16.22,20.2,300300,10.8342
6.208,15.17,20.2,245700,25.9406
6.629,23.27,20.2,281400,73.5341
6.461,18.05,20.2,201600,11.8123
6.152,26.45,20.2,182700,11.0874
5.935,34.02,20.2,176400,7.02259
5.627,22.88,20.2,268800,12.0482
5.818,22.11,20.2,220500,7.05042
6.406,19.52,20.2,359100,8.79212
6.219,16.59,20.2,386400,15.8603
6.485,18.85,20.2,323400,12.2472
5.854,23.79,20.2,226800,37.6619
6.459,23.98,20.2,247800,7.36711
6.341,17.79,20.2,312900,9.33889
6.251,16.44,20.2,264600,8.49213
6.185,18.13,20.2,296100,10.0623
6.417,19.31,20.2,273000,6.44405
6.749,17.44,20.2,281400,5.58107
6.655,17.73,20.2,319200,13.9134
6.297,17.27,20.2,338100,11.1604
7.393,16.74,20.2,373800,14.4208
6.728,18.71,20.2,312900,15.1772
6.525,18.13,20.2,296100,13.6781
5.976,19.01,20.2,266700,9.39063
5.936,16.94,20.2,283500,22.0511
6.301,16.23,20.2,312900,9.72418
6.081,14.7,20.2,420000,5.66637
6.701,16.42,20.2,344400,9.96654
6.376,14.65,20.2,371700,12.8023
6.317,13.99,20.2,409500,10.6718
6.513,10.29,20.2,424200,6.28807
6.209,13.22,20.2,449400,9.92485
5.759,14.13,20.2,417900,9.32909
5.952,17.15,20.2,399000,7.52601
6.003,21.32,20.2,401100,6.71772
5.926,18.13,20.2,401100,5.44114
5.713,14.76,20.2,422100,5.09017
6.167,16.29,20.2,417900,8.24809
6.229,12.87,20.2,411600,9.51363
6.437,14.36,20.2,487200,4.75237
6.98,11.66,20.2,625800,4.66883
5.427,18.14,20.2,289800,8.20058
6.162,24.1,20.2,279300,7.75223
6.484,18.68,20.2,350700,6.80117
5.304,24.91,20.2,252000,4.81213
6.185,18.03,20.2,306600,3.69311
6.229,13.11,20.2,449400,6.65492
6.242,10.74,20.2,483000,5.82115
6.75,7.74,20.2,497700,7.83932
7.061,7.01,20.2,525000,3.1636
5.762,10.42,20.2,457800,3.77498
5.871,13.34,20.2,432600,4.42228
6.312,10.58,20.2,445200,15.5757
6.114,14.98,20.2,401100,13.0751
5.905,11.45,20.2,432600,4.34879
5.454,18.06,20.1,319200,4.03841
5.414,23.97,20.1,147000,3.56868
5.093,29.68,20.1,170100,4.64689
5.983,18.07,20.1,285600,8.05579
5.983,13.35,20.1,422100,6.39312
5.707,12.01,19.2,457800,4.87141
5.926,13.59,19.2,514500,15.0234
5.67,17.6,19.2,485100,10.233
5.39,21.14,19.2,413700,14.3337
5.794,14.1,19.2,384300,5.82401
6.019,12.92,19.2,445200,5.70818
5.569,15.1,19.2,367500,5.73116
6.027,14.33,19.2,352800,2.81838
6.593,9.67,21,470400,2.37857
6.12,9.08,21,432600,3.67367
6.976,5.64,21,501900,5.69175
6.794,6.48,21,462000,4.83567
6.03,7.88,21,249900,0.15086
,,,,0.18337
,,,,0.20746
,,,,0.10574
,,,,0.11132
,,,,0.17331
,,,,0.27957
,,,,0.17899
,,,,0.2896
,,,,0.26838
,,,,0.23912
,,,,0.17783
,,,,0.22438
,,,,0.06263
,,,,0.04527
,,,,0.06076
,,,,0.10959
,,,,0.04741
